m-pa6_1D,https://tools.franceix.net/static/images/observium/pa6-1d_from0.png,10G
pa-pa7_1D,https://tools.franceix.net/static/images/observium/pa7-1d_from0.png,10G
pa-dc2_1D,https://tools.franceix.net/static/images/observium/dc2-1d_from0.png,10G
pa-dc3_1D,https://tools.franceix.net/static/images/observium/dc3-1d_from0.png,10G
pa-par1_1D,https://tools.franceix.net/static/images/observium/par1-1d_from0.png,10G
pa-par2_1D,https://tools.franceix.net/static/images/observium/par2-1d_from0.png,10G
pa-par5_1D,https://tools.franceix.net/static/images/observium/par5-1d_from0.png,10G
pa-th2_1D,https://tools.franceix.net/static/images/observium/th2-1d_from0.png,10G
pa-th3_1D,https://tools.franceix.net/static/images/observium/th3-1d_from0.png,10G
ma-i_1D,https://tools.franceix.net/static/images/observium/i-mrs01-1d_from0.png,10G
ma-j_1D,https://tools.franceix.net/static/images/observium/j-mrs01-1d_from0.png,10G
pa-pa6_7d,https://tools.franceix.net/static/images/observium/pa6-1w_from0.png,10G
pa-pa7_7d,https://tools.franceix.net/static/images/observium/pa7-1w_from0.png,10G
pa-dc2_7d,https://tools.franceix.net/static/images/observium/dc2-1w_from0.png,10G
pa-dc3_7d,https://tools.franceix.net/static/images/observium/dc3-1w_from0.png,10G
pa-par1_7d,https://tools.franceix.net/static/images/observium/par1-1w_from0.png,10G
pa-par2_7d,https://tools.franceix.net/static/images/observium/par2-1w_from0.png,10G
pa-par5_7d,https://tools.franceix.net/static/images/observium/par5-1w_from0.png,10G
pa-th2_7d,https://tools.franceix.net/static/images/observium/th2-1w_from0.png,10G
pa-th3_7d,https://tools.franceix.net/static/images/observium/th3-1w_from0.png,10G
ma-i_7d,https://tools.franceix.net/static/images/observium/i-mrs01-1w_from0.png,10G
